co2TailpipeGpm,cylinders,displ,drive,fuelType,make,phevBlended,transmission,VClass
493.722222222,8,5,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Midsize-Large Station Wagons
522.764705882,8,5.7,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Midsize-Large Station Wagons
444.35,4,2.5,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Small Pickup Trucks
403.954545455,4,2.5,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Small Pickup Trucks
467.736842105,6,2.8,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Small Pickup Trucks
493.722222222,6,4.3,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Small Pickup Trucks
493.722222222,6,4.3,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Small Pickup Trucks
444.35,4,2.5,Rear-Wheel Drive,Regular,GMC,False,Aut,Vans
444.35,4,2.4,Rear-Wheel Drive,Regular,Nissan,False,Aut,Small Pickup Trucks
403.954545455,4,2.4,Rear-Wheel Drive,Regular,Nissan,False,Man,Small Pickup Trucks
493.722222222,6,3,Rear-Wheel Drive,Regular,Nissan,False,Man,Small Pickup Trucks
467.736842105,4,2.4,Rear-Wheel Drive,Regular,Dodge,False,Aut,Small Pickup Trucks
467.736842105,4,2.4,Rear-Wheel Drive,Regular,Dodge,False,Man,Small Pickup Trucks
444.35,4,2.5,Rear-Wheel Drive,Regular,GMC,False,Aut,Small Pickup Trucks
403.954545455,4,2.5,Rear-Wheel Drive,Regular,GMC,False,Man,Small Pickup Trucks
467.736842105,6,2.8,Rear-Wheel Drive,Regular,GMC,False,Man,Small Pickup Trucks
493.722222222,6,4.3,Rear-Wheel Drive,Regular,GMC,False,Aut,Small Pickup Trucks
493.722222222,6,4.3,Rear-Wheel Drive,Premium,GMC,False,Aut,Small Pickup Trucks
423.190476190,4,2.5,Rear-Wheel Drive,Regular,GMC,False,Man,Vans
